PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WY,b,1941-1949,0,0.04049,0.03916,0.16,100000,3916,96713,6657444,66.57
WY,b,1941-1949,1-4,0.00238,0.00947,1.44,96084,910,382006,6560730,68.28
WY,b,1941-1949,5-9,0.00094,0.00471,2.42,95174,448,474715,6178725,64.92
WY,b,1941-1949,10-14,0.00108,0.00540,2.64,94727,512,472427,5704010,60.22
WY,b,1941-1949,15-19,0.00159,0.00792,2.65,94215,746,469324,5231583,55.53
WY,b,1941-1949,20-24,0.00207,0.01030,2.51,93469,962,464946,4762260,50.95
WY,b,1941-1949,25-29,0.00190,0.00947,2.51,92507,876,460354,4297314,46.45
WY,b,1941-1949,30-34,0.00242,0.01204,2.61,91631,1103,455518,3836961,41.87
WY,b,1941-1949,35-39,0.00313,0.01553,2.59,90527,1406,449255,3381443,37.35
WY,b,1941-1949,40-44,0.00429,0.02123,2.67,89121,1892,441201,2932187,32.90
WY,b,1941-1949,45-49,0.00679,0.03340,2.63,87229,2914,429250,2490986,28.56
WY,b,1941-1949,50-54,0.00959,0.04690,2.63,84315,3955,412215,2061736,24.45
WY,b,1941-1949,55-59,0.01471,0.07105,2.63,80361,5710,388285,1649521,20.53
WY,b,1941-1949,60-64,0.02153,0.10241,2.62,74651,7645,355025,1261236,16.90
WY,b,1941-1949,65-69,0.03433,0.15872,2.63,67006,10635,309833,906211,13.52
WY,b,1941-1949,70-74,0.05559,0.24492,2.57,56370,13806,248351,596378,10.58
WY,b,1941-1949,75-79,0.08316,0.34370,2.48,42564,14629,175924,348028,8.18
WY,b,1941-1949,80-84,0.12381,0.46998,2.44,27935,13129,106035,172104,6.16
WY,b,1941-1949,85-89,0.19324,0.63336,2.28,14806,9378,48528,66069,4.46
WY,b,1941-1949,90-94,0.28840,0.78128,2.07,5428,4241,14706,17541,3.23
WY,b,1941-1949,95-99,0.40681,0.88637,1.82,1187,1052,2587,2835,2.39
WY,b,1941-1949,100-104,0.53798,0.94535,1.57,135,128,237,248,1.84
WY,b,1941-1949,105-109,0.66549,0.97319,1.36,7,7,11,11,1.50
WY,b,1941-1949,110+,0.76061,1.00000,1.31,0,0,0,0,1.31
WY,b,1950-1959,0,0.02974,0.02899,0.13,100000,2899,97483,6939994,69.40
WY,b,1950-1959,1-4,0.00133,0.00532,1.57,97101,517,387151,6842512,70.47
WY,b,1950-1959,5-9,0.00065,0.00325,2.38,96585,314,482100,6455361,66.84
WY,b,1950-1959,10-14,0.00070,0.00351,2.83,96271,338,480619,5973261,62.05
WY,b,1950-1959,15-19,0.00171,0.00854,2.68,95932,819,477765,5492642,57.26
WY,b,1950-1959,20-24,0.00181,0.00898,2.45,95113,855,473385,5014877,52.73
WY,b,1950-1959,25-29,0.00174,0.00868,2.5,94259,818,469245,4541491,48.18
WY,b,1950-1959,30-34,0.00181,0.00900,2.56,93441,841,465151,4072246,43.58
WY,b,1950-1959,35-39,0.00248,0.01232,2.65,92599,1141,460320,3607095,38.95
WY,b,1950-1959,40-44,0.00376,0.01865,2.65,91458,1706,453276,3146775,34.41
WY,b,1950-1959,45-49,0.00566,0.02793,2.65,89752,2506,442880,2693499,30.01
WY,b,1950-1959,50-54,0.00797,0.03910,2.65,87246,3412,428226,2250620,25.80
WY,b,1950-1959,55-59,0.01204,0.05856,2.66,83834,4909,407688,1822393,21.74
WY,b,1950-1959,60-64,0.01919,0.09179,2.65,78925,7244,377585,1414706,17.92
WY,b,1950-1959,65-69,0.02992,0.13971,2.63,71681,10015,334658,1037120,14.47
WY,b,1950-1959,70-74,0.04796,0.21486,2.58,61666,13250,276255,702463,11.39
WY,b,1950-1959,75-79,0.07191,0.30528,2.53,48417,14781,205544,426208,8.80
WY,b,1950-1959,80-84,0.11271,0.43828,2.46,33636,14742,130794,220664,6.56
WY,b,1950-1959,85-89,0.17758,0.60135,2.32,18894,11362,63982,89870,4.76
WY,b,1950-1959,90-94,0.26791,0.75535,2.11,7532,5689,21237,25888,3.44
WY,b,1950-1959,95-99,0.38264,0.87007,1.87,1843,1603,4190,4651,2.52
WY,b,1950-1959,100-104,0.51310,0.93727,1.61,239,224,437,461,1.92
WY,b,1950-1959,105-109,0.64373,0.96979,1.4,15,15,23,23,1.55
WY,b,1950-1959,110+,0.74332,1.00000,1.35,0,0,1,1,1.35
WY,b,1960-1969,0,0.02670,0.02609,0.12,100000,2609,97711,7035919,70.36
WY,b,1960-1969,1-4,0.00111,0.00442,1.52,97391,430,388499,6938208,71.24
WY,b,1960-1969,5-9,0.00047,0.00236,2.17,96961,228,484158,6549709,67.55
