WY: WY, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03780	0.03664	0.16	100000	3664	96918	6901201	69.01
1941-1944	1	0.00455	0.00454	0.5	96336	438	96117	6804283	70.63
1941-1944	2	0.00317	0.00317	0.5	95899	304	95747	6708166	69.95
1941-1944	3	0.00262	0.00261	0.5	95595	250	95470	6612419	69.17
1941-1944	4	0.00122	0.00122	0.5	95345	116	95287	6516949	68.35
1941-1944	5	0.00084	0.00084	0.5	95229	80	95189	6421662	67.43
1941-1944	6	0.00082	0.00082	0.5	95149	78	95109	6326473	66.49
1941-1944	7	0.00080	0.00080	0.5	95070	76	95032	6231364	65.54
1941-1944	8	0.00079	0.00079	0.5	94994	75	94956	6136332	64.60
1941-1944	9	0.00076	0.00076	0.5	94919	72	94882	6041376	63.65
1941-1944	10	0.00073	0.00073	0.5	94846	69	94812	5946493	62.70
1941-1944	11	0.00073	0.00073	0.5	94777	69	94742	5851682	61.74
1941-1944	12	0.00076	0.00076	0.5	94708	72	94672	5756939	60.79
1941-1944	13	0.00083	0.00083	0.5	94636	78	94597	5662267	59.83
1941-1944	14	0.00093	0.00093	0.5	94558	88	94514	5567670	58.88
1941-1944	15	0.00107	0.00107	0.5	94470	101	94419	5473156	57.94
1941-1944	16	0.00119	0.00119	0.5	94369	112	94313	5378736	57.00
1941-1944	17	0.00129	0.00128	0.5	94257	121	94197	5284423	56.06
1941-1944	18	0.00137	0.00137	0.5	94136	129	94071	5190227	55.14
1941-1944	19	0.00145	0.00144	0.5	94007	136	93939	5096155	54.21
1941-1944	20	0.00151	0.00151	0.5	93871	142	93800	5002216	53.29
1941-1944	21	0.00157	0.00157	0.5	93729	147	93656	4908416	52.37
1941-1944	22	0.00157	0.00157	0.5	93582	147	93509	4814760	51.45
1941-1944	23	0.00153	0.00153	0.5	93435	143	93364	4721251	50.53
1941-1944	24	0.00143	0.00143	0.5	93293	134	93226	4627888	49.61
1941-1944	25	0.00128	0.00128	0.5	93159	119	93099	4534662	48.68
1941-1944	26	0.00118	0.00117	0.5	93040	109	92985	4441562	47.74
1941-1944	27	0.00115	0.00115	0.5	92930	107	92877	4348577	46.79
1941-1944	28	0.00122	0.00122	0.5	92823	113	92767	4255701	45.85
1941-1944	29	0.00137	0.00137	0.5	92710	127	92646	4162934	44.90
1941-1944	30	0.00160	0.00160	0.5	92583	148	92509	4070288	43.96
1941-1944	31	0.00184	0.00184	0.5	92435	170	92350	3977779	43.03
1941-1944	32	0.00209	0.00209	0.5	92265	192	92169	3885429	42.11
1941-1944	33	0.00234	0.00234	0.5	92072	215	91965	3793260	41.20
1941-1944	34	0.00260	0.00260	0.5	91857	239	91738	3701296	40.29
1941-1944	35	0.00286	0.00286	0.5	91618	262	91487	3609558	39.40
1941-1944	36	0.00304	0.00303	0.5	91356	277	91218	3518071	38.51
1941-1944	37	0.00316	0.00316	0.5	91079	287	90935	3426853	37.63
1941-1944	38	0.00325	0.00324	0.5	90792	295	90644	3335918	36.74
1941-1944	39	0.00317	0.00317	0.5	90497	287	90354	3245274	35.86
1941-1944	40	0.00297	0.00297	0.5	90210	268	90076	3154920	34.97
1941-1944	41	0.00287	0.00286	0.5	89943	257	89814	3064844	34.08
1941-1944	42	0.00297	0.00296	0.5	89685	266	89552	2975030	33.17
1941-1944	43	0.00330	0.00329	0.5	89420	294	89272	2885477	32.27
1941-1944	44	0.00385	0.00384	0.5	89125	343	88954	2796205	31.37
1941-1944	45	0.00463	0.00462	0.5	88783	410	88577	2707251	30.49
1941-1944	46	0.00526	0.00524	0.5	88372	463	88141	2618674	29.63
1941-1944	47	0.00572	0.00570	0.5	87909	501	87658	2530533	28.79
