"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Silent",78.7,73.7,67.1,56.9,82.7,78,74,81,41.2,38.7,41.3,80.2
"1989:Q3","BabyBoom",20.9,25.8,32.3,40.9,17.1,21.9,25.6,18.5,57.3,60.4,55.1,19.6
"1989:Q3","GenX",0.4,0.5,0.6,2.3,0.2,0,0.4,0.4,1.5,0.9,3.5,0.2
"1989:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1989:Q4","Silent",77.9,73.1,66.4,55.9,81.2,77.9,73.2,80.3,41.6,39.6,40.3,81.3
"1989:Q4","BabyBoom",21.1,25.9,31.5,41.5,18.6,21.8,26.2,19.1,56.4,59.1,55.4,18.6
"1989:Q4","GenX",0.9,1.1,2.1,2.6,0.2,0.3,0.6,0.6,2,1.3,4.4,0.1
"1989:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q1","Silent",78.8,73.8,67.9,55.4,85,76.8,74.8,80.7,41.2,39.4,39.5,80.6
"1990:Q1","BabyBoom",20.7,25.6,31.4,41.4,15,22.7,25.2,18.8,56.7,59.4,55.3,19.3
"1990:Q1","GenX",0.4,0.7,0.7,3.1,0,0.5,0,0.5,2.1,1.1,5.2,0.1
"1990:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q2","Silent",78.4,73.4,66.3,54.5,87.5,75.7,76.3,80.4,41.2,39.6,39,81.1
"1990:Q2","BabyBoom",20.7,25.5,31.4,42,12.5,23.9,23.7,18.9,55.6,57.9,55.2,18.8
"1990:Q2","GenX",0.9,1.2,2.3,3.5,0,0.4,0,0.6,3.2,2.5,5.8,0.1
"1990:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q3","Silent",79.8,74.4,67.4,54.5,97.8,73.3,78.8,81.9,40.7,39.4,37.4,83.7
"1990:Q3","BabyBoom",19.7,24.8,32.1,41.8,2.2,25.7,21.2,17.5,56.7,59.1,56.4,16.3
"1990:Q3","GenX",0.5,0.8,0.6,3.7,0,1,0,0.6,2.6,1.5,6.2,0
"1990:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q4","Silent",79,73.6,68.2,54.4,90,74.7,75.2,80.1,40.6,39.5,36.7,82.5
"1990:Q4","BabyBoom",20.7,25.7,31.8,41.7,10,24.7,24.8,19.1,57.2,59.8,55.9,17.4
"1990:Q4","GenX",0.4,0.6,0,3.9,0,0.6,0,0.8,2.3,0.7,7.4,0.1
"1990:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q1","Silent",76.6,71.8,66.4,53.5,80.3,77.5,69.3,77.8,40.7,39.7,36.6,81.7
"1991:Q1","BabyBoom",22.6,27.2,32.5,42,19.7,22.5,29.7,21,56.6,59.4,54.6,18.2
"1991:Q1","GenX",0.8,1,1.1,4.5,0,0,0.9,1.1,2.7,0.9,8.8,0.1
"1991:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q2","Silent",76.9,71.8,65.5,53.2,82.7,76.7,71,78.3,40.3,39.3,35.9,82.1
"1991:Q2","BabyBoom",22.3,27,33.1,42.2,17.3,22.9,28.6,20.6,56.6,59.2,54.7,17.8
"1991:Q2","GenX",0.8,1.2,1.4,4.6,0,0.5,0.4,1.1,3.2,1.4,9.4,0.1
"1991:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q3","Silent",77.1,72,66.7,53.7,81.1,76.8,70.9,77.9,40,39.1,35.8,79.8
"1991:Q3","BabyBoom",22.3,27.1,33.3,41.7,18.9,22.5,28.6,20.9,57.3,60.1,54.9,20
"1991:Q3","GenX",0.6,0.9,0,4.6,0,0.7,0.5,1.2,2.7,0.8,9.4,0.1
"1991:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q4","Silent",75,70.1,65,53.6,71.3,78,67.5,76.1,39.7,38.7,35.4,77.2
"1991:Q4","BabyBoom",24,28.5,34.3,41.7,26.1,21.6,30.9,22.7,57.1,59.9,54.7,22.6
"1991:Q4","GenX",1.1,1.4,0.7,4.6,2.6,0.4,1.5,1.3,3.2,1.3,9.8,0.2
"1991:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q1","Silent",74.7,69.8,63.2,53,73.6,76.3,69.3,76.8,39.5,38.5,35.3,77.9
"1992:Q1","BabyBoom",24.1,28.6,34.6,42.2,24.9,23.4,29.7,21.9,56.4,58.7,55.3,21.9
"1992:Q1","GenX",1.2,1.6,2.3,4.8,1.5,0.3,1,1.2,4.1,2.8,9.4,0.2
"1992:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q2","Silent",75.1,70.2,62.8,52.5,76.9,74.5,72.7,77.5,39.3,38.4,35,75.6
"1992:Q2","BabyBoom",23.8,28.2,34.3,42.5,23,25.1,26.7,21.3,56,58.1,55.7,23.8
"1992:Q2","GenX",1.1,1.6,2.9,5,0.1,0.3,0.6,1.2,4.6,3.5,9.2,0.6
"1992:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q3","Silent",75.4,70.3,63.6,53.4,75.9,73.5,75,77.1,38.9,38.1,34.3,73.4
"1992:Q3","BabyBoom",23.8,28.4,34.9,42,23.9,26.2,24.3,21.4,57.1,59.4,55.6,25.9
"1992:Q3","GenX",0.8,1.3,1.4,4.7,0.2,0.4,0.7,1.5,4,2.5,10.1,0.7
"1992:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q4","Silent",72.9,68.1,62.8,52.7,68,72.3,69.9,75.5,37.8,36.9,33.4,75.4
"1992:Q4","BabyBoom",25.7,30.1,35.7,42,28.4,27.4,28.9,22.5,57.3,59.7,55.8,23.9
"1992:Q4","GenX",1.4,1.8,1.5,5.3,3.5,0.4,1.2,1.9,4.9,3.4,10.8,0.7
"1992:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q1","Silent",70.9,66.3,58.9,50.6,67.1,71.6,67.9,75.3,37.4,36.2,33.1,75.1
"1993:Q1","BabyBoom",26.6,30.5,35.6,43.3,28.9,27.5,30.8,23,55.6,57.6,55.5,24
"1993:Q1","GenX",2.5,3.2,5.5,6.1,4,1,1.3,1.7,7,6.2,11.4,1
"1993:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q2","Silent",70.4,65.8,58.3,50.1,66.4,70.7,66.7,75.5,36.3,35.1,32.1,75.7
"1993:Q2","BabyBoom",27.1,31.1,36.5,43.2,29.3,28.1,32.2,22.8,56.2,58.3,55.7,23.4
"1993:Q2","GenX",2.5,3.2,5.2,6.7,4.3,1.2,1.2,1.7,7.6,6.6,12.3,1
"1993:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q3","Silent",70.1,65.3,58.5,50,65,69.9,65.8,75.3,35.4,34.2,31,74
"1993:Q3","BabyBoom",27.5,31.6,37.2,42.9,30.1,28.8,33.1,22.8,57.1,59.5,55.6,25
"1993:Q3","GenX",2.4,3.1,4.3,7,4.9,1.3,1.2,1.9,7.6,6.3,13.4,0.9
"1993:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q4","Silent",69.1,64.3,57.2,49.2,63,69.5,64.3,74.7,34.5,33.4,30,73
"1993:Q4","BabyBoom",28.2,32.2,37.8,43.1,31.4,29.4,34.3,23,57.2,59.6,56,26
"1993:Q4","GenX",2.7,3.5,5,7.7,5.6,1.1,1.3,2.3,8.2,7,14,1
"1993:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q1","Silent",68.8,63.9,54.5,47.7,66.9,67.8,66.4,75.4,33.8,32.7,29,72.6
"1994:Q1","BabyBoom",28.3,32.2,38.1,44,29.2,30.8,33.2,22.8,56.6,58.8,56.1,26.4
"1994:Q1","GenX",2.9,3.8,7.4,8.3,3.9,1.4,0.4,1.8,9.5,8.5,14.9,1
"1994:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q2","Silent",69.7,64.6,53.6,47.1,72.7,66,69.9,76.8,33,32,28.1,72
"1994:Q2","BabyBoom",27.5,31.6,38.5,44.1,25.8,32.1,30.1,21.3,56.8,58.8,56.5,26.8
"1994:Q2","GenX",2.8,3.8,7.9,8.8,1.5,2,0,1.8,10.2,9.2,15.5,1.2
"1994:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q3","Silent",70.2,64.9,54.2,47.2,74.6,65,70.9,76.9,32.4,31.4,27.3,71.7
"1994:Q3","BabyBoom",27.4,31.7,39,43.8,24.7,32.9,29.1,21.2,57.5,59.7,56.6,27
"1994:Q3","GenX",2.4,3.5,6.8,9.1,0.6,2.1,0,1.9,10.1,8.8,16.1,1.4
"1994:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q4","Silent",71,65.4,54.4,47,78.6,63.6,73.6,77,31.7,30.9,26.3,69.7
"1994:Q4","BabyBoom",26.9,31.3,39.2,43.7,21.4,34.5,26.4,21,57.8,60,57.3,28.7
"1994:Q4","GenX",2.1,3.3,6.4,9.3,0,1.9,0,2.1,10.4,9.1,16.4,1.6
"1994:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q1","Silent",70.7,65.1,53.7,46.6,78.3,63.6,73.5,76.6,31.5,30.7,26.3,69.2
"1995:Q1","BabyBoom",27.1,31.4,39.5,43.7,21.7,34.3,26.5,21.3,57.8,60.2,56.4,29
"1995:Q1","GenX",2.2,3.4,6.7,9.7,0,2.1,0,2.1,10.7,9.1,17.3,1.8
"1995:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q2","Silent",70.3,64.7,54.6,47.5,76,63.9,70.8,75.2,31.2,30.6,26.1,67.4
"1995:Q2","BabyBoom",28,32.3,40.6,42.9,24,34.1,29.2,22.4,58.8,61.7,55.7,30.7
"1995:Q2","GenX",1.8,2.9,4.8,9.5,0,2,0,2.4,9.9,7.7,18.3,1.9
"1995:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q3","Silent",69.2,63.8,55.2,48.1,72.2,64.6,65.9,73.3,31,30.5,25.8,64.6
"1995:Q3","BabyBoom",29,33.3,40.9,42.4,26.9,33.4,32.9,24.3,59.2,62.3,55.2,33.3
"1995:Q3","GenX",1.8,2.9,3.9,9.4,0.9,2,1.2,2.4,9.8,7.2,18.9,2.1
"1995:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q4","Silent",67.8,62.5,53.5,47.6,68.9,63.7,65.2,72.6,30.4,29.9,25.3,64.6
"1995:Q4","BabyBoom",29.8,34,41.9,42.7,28.9,34.1,33.2,24.5,59.3,62.6,55,33
"1995:Q4","GenX",2.3,3.5,4.6,9.7,2.2,2.2,1.6,2.9,10.3,7.5,19.8,2.4
"1995:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q1","Silent",66.5,61.4,51.8,46.8,67,63.1,63.7,72,30,29.2,25.2,64.4
"1996:Q1","BabyBoom",30.7,34.7,42.4,43.1,30.1,34.7,34.4,24.9,58.9,62.5,53.8,33.5
"1996:Q1","GenX",2.8,4,5.8,10.1,2.9,2.2,2,3.1,11.1,8.3,21,2
"1996:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q2","Silent",66.4,61.2,52.3,46.9,66.4,62.4,63.8,71.6,29.6,28.7,24.9,63.4
"1996:Q2","BabyBoom",31,35,42.5,43,30.6,35.5,34.3,25.2,59,62.8,53.5,34.2
"1996:Q2","GenX",2.6,3.8,5.2,10.1,3,2.1,1.9,3.3,11.4,8.5,21.7,2.3
"1996:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q3","Silent",66.6,61.2,52.3,46.6,67.5,61.5,64.2,71.8,29.1,28.3,24.5,62.9
"1996:Q3","BabyBoom",31,35,42.6,43.1,30.1,36.2,34.2,24.7,58.9,62.7,53.2,34.7
"1996:Q3","GenX",2.4,3.8,5.1,10.3,2.4,2.3,1.6,3.5,11.9,8.9,22.3,2.5
"1996:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q4","Silent",65.3,60.1,50.7,45.8,66,61.1,62.2,70.6,28.8,27.9,24.5,63
"1996:Q4","BabyBoom",31.6,35.4,42.5,43.5,31,35.9,35.5,25.7,58.2,62,52.5,34.7
"1996:Q4","GenX",3.2,4.6,6.8,10.6,3,3,2.4,3.8,13,10.2,22.9,2.3
"1996:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q1","Silent",65.1,59.9,49.8,45.1,67.5,60.5,61.3,71.5,28.6,27.6,24.6,61.6
"1997:Q1","BabyBoom",31.8,35.5,42.7,43.8,30.3,36.6,36.3,25.1,57.8,61.6,51.7,35.8
"1997:Q1","GenX",3.1,4.6,7.5,11,2.2,2.9,2.4,3.5,13.6,10.8,23.7,2.6
"1997:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q2","Silent",63.1,58.3,50.1,45.8,62.7,60,57.2,68.6,28.8,27.5,25.5,60.7
"1997:Q2","BabyBoom",33.2,36.6,43,43.4,33,37.2,38.1,27.3,57.5,61.8,50.2,36.6
"1997:Q2","GenX",3.7,5.1,6.9,10.8,4.3,2.8,4.6,4.1,13.6,10.7,24.4,2.7
"1997:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q3","Silent",61.9,57.3,50.1,46,60.4,59,55,67.5,28.8,27.4,25.6,62
"1997:Q3","BabyBoom",34.1,37.3,43.4,43.2,34.3,37.7,39.5,28.2,57.3,61.7,49.4,35.8
"1997:Q3","GenX",3.9,5.3,6.5,10.8,5.3,3.2,5.5,4.3,13.9,10.9,25,2.2
"1997:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q4","Silent",61.3,56.7,48.2,44.8,61.2,58.7,54.1,67.2,28.6,27.2,25.4,61.1
"1997:Q4","BabyBoom",34.5,37.6,43.4,43.8,34,38.4,40.3,28.3,56.3,60.4,49.5,36.3
"1997:Q4","GenX",4.2,5.7,8.4,11.3,4.8,2.9,5.5,4.6,15,12.4,25.2,2.6
"1997:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q1","Silent",59.1,55.1,48,45.1,57.9,58,49.5,64.5,29,27.3,26.4,61.4
