"country","year","sex","agf","total","e0","e1","e5","e10","e15","e20","e25","e30","e35","e40","e45","e50","e55","e60","e65","e70","e75","e80","e85p","e85","e90p","e90","e95p","e95","e100p"
"USA",1979,1,4,109094753.61,1761646.9,6465906.34,8662154.51,9442095.29,10830591.97,10552046.26,9484867.29,8386786.16,6658779.12,5644972.57,5439955.86,5629668.3,5455929.28,4581984.59,3874869.49,2769837.21,1818741.27,993976.29,639944.91,464423.8,175521.11,144865.81,30655.3,27212.99,3442.31
"USA",1980,1,4,110301182.56,1814071.24,6605423.3,8476286.23,9334696.19,10703890.71,10700772.77,9774882.27,8780712.1,6896739.47,5745615.56,5388156.22,5608420.51,5467476.1,4692457.69,3917645.73,2860303.1,1864851.05,1009466.08,659316.24,476217.64,183098.6,150662.35,32436.25,28802.19,3634.06
"USA",1981,1,4,111442484.48,1848148.97,6787910.87,8248909.81,9339743.02,10441497.22,10836141.95,10043715.26,9217697.84,7095766.39,5898939.9,5363131.48,5568162.8,5440631.24,4804834.46,3958045.8,2933515.36,1911790.18,1027811.33,676090.6,487279.2,188811.4,155080.18,33731.22,29917.01,3814.21
"USA",1982,1,4,112525719.12,1865273.95,6944415.08,8189799.59,9263219.21,10160357.53,10875237.89,10317264,9278759.6,7622955.9,6115008.66,5388479.39,5489835.36,5411417.92,4892883.2,4008456.76,2996455.83,1964477.89,1049217.48,692203.88,495038.89,197164.99,161846.31,35318.68,31249.21,4069.47
"USA",1983,1,4,113586192.92,1864475.49,7101184.89,8229625.41,9137620.46,9875499.81,10871509.97,10548816.58,9450551.07,7937788.42,6433496.42,5467753.9,5395037.66,5394120.98,4954377.06,4063382.73,3056419.13,2018782.36,1080672.61,705077.97,499639.63,205438.34,168108.56,37329.78,33008.34,4321.44
"USA",1984,1,4,114622789.71,1843179.83,7208475.66,8369716.45,8930478.49,9671269.05,10823302.75,10726036.11,9676159.04,8308128.21,6678330.45,5582116.75,5299111.09,5366720.62,5008292.78,4118478.2,3110150.69,2073401.1,1115555.86,713886.58,502208.9,211677.68,172276.57,39401.11,34892.99,4508.12
"USA",1985,1,4,115683189.1,1878979.88,7249920.69,8537226.11,8712680.7,9575340.67,10709116.7,10847687.11,9932738.79,8689751.48,6903485.33,5678410.73,5254074.19,5328345.98,5038584.93,4188024.04,3155819.66,2128686.27,1146899.74,727416.1,510371.69,217044.41,176143.13,40901.28,36231.15,4670.13
"USA",1986,1,4,116797301.28,1896163.55,7295950.99,8744625.84,8471322.03,9597934.66,10476990.64,10951347.88,10175124.89,9137821.93,7107239.86,5819455.64,5232433.99,5283996.88,5024685.44,4277083.31,3198380.49,2185705.74,1178144.82,742892.7,520922.24,221970.46,179810.53,42159.93,37327.38,4832.55
"USA",1987,1,4,117902932.25,1900275.27,7343530.4,8917412.34,8414801.9,9549794.22,10227145.98,10953540.43,10426119.89,9210178.8,7644845.94,6025183.39,5254533.27,5213283.7,5001576.11,4356286.79,3246894.08,2243466.74,1215945.59,758117.41,532880.34,225237.07,181799.99,43437.08,38466.59,4970.49
"USA",1988,1,4,119031292.27,1928281.21,7396571.08,9077753.4,8463293.78,9464125.08,9972880.9,10903594.13,10630872.53,9395148.43,7973927.94,6331577.49,5333443.16,5125920.72,4990798.69,4411749.89,3302214.82,2299503.52,1252746,776889.5,549857.18,227032.32,182806.48,44225.84,39152.99,5072.85
