SP,"São Paulo",46289333
MG,"Minas Gerais",21292666
RJ,"Rio De Janeiro",17366189
BA,"Bahia",14930634
PR,"Paraná",11516840
RS,"Rio Grande Do Sul",11422973
PE,"Pernambuco",9616621
CE,"Ceará",9187103
PA,"Pará",8690745
SC,"Santa Catarina",7252502
MA,"Maranhão",7114598
GO,"Goiás",7113540
AM,"Amazonas",4207714
ES,"Espírito Santo",4064052
PB,"Paraíba",4039277
RN,"Rio Grande Do Norte",3534165
MT,"Mato Grosso",3526220
AL,"Alagoas",3351543
PI,"Piauí",3281480
DF,"Distrito Federal",3055149
MS,"Mato Grosso Do Sul",2809394
SE,"Sergipe",2318822
RO,"Rondônia",1796460
TO,"Tocantins",1590248
AC,"Acre",894470
AP,"Amapá",861773
RR,"Roraima",631181
