Austria, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 05/08/2021
Year   Age   Cohort      Exposure
1951    12    1939       32001.07
1951    12    1938       24780.23
1951    13    1938       22014.59
1951    13    1937       20564.34
1951    14    1937       20652.51
1951    14    1936       20058.90
1951    15    1936       21099.07
1951    15    1935       20268.58
1951    16    1935       21212.66
1951    16    1934       20652.93
1951    17    1934       21739.23
1951    17    1933       21096.41
1951    18    1933       22267.58
1951    18    1932       21852.85
1951    19    1932       23130.54
1951    19    1931       22262.69
1951    20    1931       23636.67
1951    20    1930       22986.91
1951    21    1930       24748.59
1951    21    1929       23398.01
1951    22    1929       24130.20
1951    22    1928       23707.60
1951    23    1928       24718.66
1951    23    1927       24009.44
1951    24    1927       25137.28
1951    24    1926       25576.41
1951    25    1926       26759.70
1951    25    1925       27247.07
1951    26    1925       28914.19
1951    26    1924       28491.41
1951    27    1924       29797.11
1951    27    1923       29164.37
1951    28    1923       30838.77
1951    28    1922       29479.16
1951    29    1922       31117.20
1951    29    1921       29256.70
1951    30    1921       30932.57
1951    30    1920       27581.16
1951    31    1920       29839.05
1951    31    1919       25199.01
1951    32    1919       21222.76
1951    32    1918       18585.59
1951    33    1918       15524.95
1951    33    1917       15136.68
1951    34    1917       16282.91
1951    34    1916       17008.24
1951    35    1916       17146.43
1951    35    1915       19378.88
1951    36    1915       23152.04
1951    36    1914       25904.92
1951    37    1914       28058.88
1951    37    1913       28481.48
1951    38    1913       28137.69
1951    38    1912       28966.86
1951    39    1912       29464.78
1951    39    1911       29120.86
1951    40    1911       28292.63
1951    40    1910       29577.30
1951    41    1910       29898.56
1951    41    1909       29731.56
1951    42    1909       29712.10
1951    42    1908       29399.51
1951    43    1908       29128.94
1951    43    1907       29395.03
1951    44    1907       29202.75
1951    44    1906       29308.25
1951    45    1906       29570.87
1951    45    1905       28964.70
1951    46    1905       28401.83
1951    46    1904       28810.75
1951    47    1904       28981.14
1951    47    1903       28737.81
1951    48    1903       28335.70
1951    48    1902       28617.12
1951    49    1902       28725.01
1951    49    1901       28251.10
1951    50    1901       28131.12
1951    50    1900       27694.37
1951    51    1900       27443.32
1951    51    1899       27162.66
1951    52    1899       27178.74
1951    52    1898       26485.58
1951    53    1898       26283.64
1951    53    1897       25882.64
1951    54    1897       25622.25
1951    54    1896       25397.58
1951    55    1896       25343.68
1951    55    1895       24727.43
1952    12    1940       35338.00
1952    12    1939       32363.93
1952    13    1939       31869.31
1952    13    1938       22632.41
1952    14    1938       21874.55
