Austria, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        Exposure
1951     12        56781.30
1951     13        42578.92
1951     14        40711.41
1951     15        41367.65
1951     16        41865.59
1951     17        42835.63
1951     18        44120.44
1951     19        45393.23
1951     20        46623.59
1951     21        48146.60
1951     22        47837.81
1951     23        48728.10
1951     24        50713.69
1951     25        54006.78
1951     26        57405.60
1951     27        58961.47
1951     28        60317.93
1951     29        60373.90
1951     30        58513.72
1951     31        55038.05
1951     32        39808.35
1951     33        30661.63
1951     34        33291.15
1951     35        36525.31
1951     36        49056.96
1951     37        56540.36
1951     38        57104.55
1951     39        58585.63
1951     40        57869.93
1951     41        59630.13
1951     42        59111.61
1951     43        58523.97
1951     44        58511.00
1951     45        58535.57
1951     46        57212.58
1951     47        57718.94
1951     48        56952.82
1951     49        56976.11
1951     50        55825.49
1951     51        54605.98
1951     52        53664.32
1951     53        52166.28
1951     54        51019.83
1951     55        50071.11
1952     12        67701.93
1952     13        54501.73
1952     14        41652.05
1952     15        40369.50
1952     16        40811.39
1952     17        41408.78
1952     18        42222.20
1952     19        43860.05
1952     20        44748.78
1952     21        46661.30
1952     22        47509.36
1952     23        47633.09
1952     24        47975.00
1952     25        50272.83
1952     26        53927.70
1952     27        57023.96
1952     28        58784.87
1952     29        60106.27
1952     30        60200.05
1952     31        59465.11
1952     32        55063.62
1952     33        37924.21
1952     34        30031.49
1952     35        32377.03
1952     36        35788.54
1952     37        50365.33
1952     38        56060.38
1952     39        57477.12
1952     40        57586.96
1952     41        58031.01
1952     42        59434.66
1952     43        58672.46
1952     44        58163.27
1952     45        58595.12
1952     46        57780.20
1952     47        57183.36
1952     48        57085.60
1952     49        56825.23
1952     50        56612.38
1952     51        55331.93
1952     52        54377.16
1952     53        53198.03
1952     54        51624.49
1952     55        50674.43
1953     12        62930.74
1953     13        67472.90
1953     14        54252.86
1953     15        41391.95
1953     16        40063.86
1953     17        40462.82
1953     18        41028.58
1953     19        41858.26
1953     20        43521.66
1953     21        44454.40
1953     22        46373.54
1953     23        47242.06
1953     24        47362.45
1953     25        47713.65
1953     26        50008.14
1953     27        53640.29
1953     28        56755.61
1953     29        58525.90
1953     30        59834.23
1953     31        59937.44
1953     32        59212.95
1953     33        54835.64
1953     34        37765.67
1953     35        29898.14
1953     36        32250.98
1953     37        35638.19
1953     38        50155.55
1953     39        55844.60
1953     40        57221.59
1953     41        57329.99
1953     42        57765.00
1953     43        59164.71
1953     44        58407.00
1953     45        57914.31
1953     46        58309.18
1953     47        57465.78
1953     48        56843.40
1953     49        56723.13
1953     50        56477.67
1953     51        56245.43
1953     52        54958.98
1953     53        53996.76
1953     54        52784.60
1953     55        51195.46
1954     12        58041.80
1954     13        62788.77
1954     14        67283.66
1954     15        54053.40
1954     16        41176.45
1954     17        39817.80
1954     18        40176.20
1954     19        40718.08
1954     20        41560.07
1954     21        43249.05
1954     22        44216.60
1954     23        46134.43
1954     24        47009.40
1954     25        47145.50
1954     26        47501.39
1954     27        49783.12
1954     28        53419.69
1954     29        56523.85
1954     30        58286.59
1954     31        59605.29
1954     32        59710.16
1954     33        59003.59
1954     34        54632.66
1954     35        37613.83
1954     36        29783.85
1954     37        32134.49
1954     38        35506.46
1954     39        49946.83
1954     40        55626.03
1954     41        56997.68
1954     42        57097.51
1954     43        57517.55
1954     44        58907.72
1954     45        58170.01
1954     46        57665.81
1954     47        58019.68
1954     48        57147.85
1954     49        56489.87
1954     50        56380.05
1954     51        56115.64
1954     52        55855.97
1954     53        54578.52
1954     54        53621.28
1954     55        52369.05
1955     12        52344.30
1955     13        57913.63
1955     14        62620.99
1955     15        67054.32
1955     16        53810.39
1955     17        40914.46
1955     18        39515.25
1955     19        39827.95
1955     20        40337.42
1955     21        41176.52
1955     22        42912.43
1955     23        43904.96
1955     24        45847.25
1955     25        46725.59
1955     26        46896.55
1955     27        47242.40
1955     28        49517.38
1955     29        53152.22
1955     30        56245.12
1955     31        58008.57
1955     32        59342.61
1955     33        59442.00
1955     34        58743.30
1955     35        54391.99
1955     36        37437.75
1955     37        29645.97
1955     38        32000.65
1955     39        35353.07
1955     40        49708.51
1955     41        55398.13
1955     42        56758.62
1955     43        56833.04
1955     44        57238.57
1955     45        58631.26
1955     46        57904.06
1955     47        57408.34
1955     48        57690.72
1955     49        56799.82
1955     50        56124.81
1955     51        56007.63
1955     52        55733.69
1955     53        55431.56
1955     54        54174.62
1955     55        53200.28
1956     12        53557.09
1956     13        52244.68
1956     14        57736.81
1956     15        62392.83
1956     16        66740.14
1956     17        53476.14
1956     18        40553.42
1956     19        39101.43
1956     20        39351.43
1956     21        39806.28
1956     22        40664.85
1956     23        42454.76
1956     24        43496.25
1956     25        45459.88
1956     26        46371.62
1956     27        46558.06
1956     28        46890.77
1956     29        49181.14
1956     30        52794.96
1956     31        55864.23
1956     32        57654.07
1956     33        58987.28
1956     34        59106.24
1956     35        58414.39
1956     36        54077.81
1956     37        37216.10
1956     38        29486.33
1956     39        31832.98
1956     40        35162.95
1956     41        49433.73
1956     42        55125.82
1956     43        56466.16
1956     44        56507.57
1956     45        56928.06
1956     46        58299.71
1956     47        57613.59
1956     48        57083.37
1956     49        57337.22
1956     50        56437.29
1956     51        55726.26
1956     52        55595.67
1956     53        55299.13
1956     54        54967.10
1956     55        53729.07
1957     12        47414.91
1957     13        53524.57
1957     14        52139.89
1957     15        57587.59
1957     16        62187.93
1957     17        66489.84
1957     18        53208.91
1957     19        40266.59
1957     20        38766.24
1957     21        38970.77
1957     22        39394.85
1957     23        40287.96
1957     24        42111.90
1957     25        43188.27
1957     26        45162.74
1957     27        46098.52
1957     28        46277.10
1957     29        46628.99
1957     30        48903.41
1957     31        52496.19
1957     32        55562.63
1957     33        57364.88
1957     34        58708.57
1957     35        58823.64
1957     36        58150.23
1957     37        53824.12
1957     38        37048.02
1957     39        29350.47
1957     40        31695.75
1957     41        34984.78
1957     42        49209.72
1957     43        54885.97
1957     44        56196.62
1957     45        56216.56
1957     46        56620.49
1957     47        57992.72
1957     48        57308.60
1957     49        56753.84
1957     50        57003.09
1957     51        56071.80
1957     52        55321.23
1957     53        55197.67
1957     54        54854.63
1957     55        54510.99
1958     12        39688.59
1958     13        47389.37
1958     14        53503.20
1958     15        52072.05
1958     16        57485.05
1958     17        62057.49
1958     18        66323.30
1958     19        53027.78
1958     20        40073.54
1958     21        38551.98
1958     22        38718.63
1958     23        39117.19
1958     24        40028.67
1958     25        41870.86
1958     26        42966.30
1958     27        44957.01
1958     28        45891.52
1958     29        46086.07
1958     30        46432.21
1958     31        48704.37
1958     32        52285.50
1958     33        55345.97
1958     34        57144.06
1958     35        58494.18
1958     36        58610.33
1958     37        57938.86
1958     38        53624.59
1958     39        36914.69
1958     40        29236.09
1958     41        31578.52
1958     42        34855.40
1958     43        49008.74
1958     44        54684.61
1958     45        55955.67
1958     46        55964.60
1958     47        56347.55
1958     48        57693.75
1958     49        57004.65
1958     50        56453.26
1958     51        56666.12
1958     52        55722.35
1958     53        54939.23
1958     54        54766.75
1958     55        54424.48
1959     12        52539.23
1959     13        39670.59
1959     14        47376.37
1959     15        53468.45
1959     16        52001.81
1959     17        57392.49
1959     18        61936.94
1959     19        66174.66
1959     20        52872.15
1959     21        39912.18
1959     22        38365.70
1959     23        38509.44
1959     24        38898.66
1959     25        39821.47
1959     26        41679.25
1959     27        42795.22
1959     28        44781.85
1959     29        45730.55
1959     30        45923.10
1959     31        46269.55
1959     32        48535.77
1959     33        52104.91
1959     34        55154.07
1959     35        56951.70
1959     36        58296.88
1959     37        58422.49
1959     38        57753.76
1959     39        53435.24
1959     40        36790.76
1959     41        29129.95
1959     42        31464.96
1959     43        34719.23
1959     44        48823.15
1959     45        54473.63
1959     46        55716.63
1959     47        55720.12
1959     48        56072.09
1959     49        57414.76
1959     50        56729.54
1959     51        56128.77
1959     52        56335.61
1959     53        55351.39
1959     54        54553.83
1959     55        54367.68
1960     12        52590.16
1960     13        52518.56
1960     14        39652.36
1960     15        47352.88
1960     16        53428.02
1960     17        51960.64
1960     18        57344.87
1960     19        61873.46
1960     20        66099.74
1960     21        52785.58
1960     22        39828.80
1960     23        38259.68
1960     24        38387.15
1960     25        38772.55
1960     26        39706.81
1960     27        41563.85
1960     28        42684.64
1960     29        44667.23
1960     30        45625.83
1960     31        45809.63
1960     32        46154.49
1960     33        48413.64
1960     34        51975.34
1960     35        55013.92
1960     36        56813.31
1960     37        58167.90
1960     38        58279.89
1960     39        57600.19
1960     40        53290.15
1960     41        36680.34
1960     42        29039.04
1960     43        31366.71
1960     44        34599.18
1960     45        48659.36
1960     46        54261.15
1960     47        55504.20
1960     48        55487.21
1960     49        55811.04
1960     50        57139.21
1960     51        56432.15
1960     52        55802.86
1960     53        55987.69
1960     54        55004.55
1960     55        54164.22
1961     12        51124.47
1961     13        52585.27
1961     14        52508.04
1961     15        39594.35
1961     16        47265.47
1961     17        53318.21
1961     18        51807.71
1961     19        57180.53
1961     20        61694.86
1961     21        65871.77
1961     22        52614.98
1961     23        39705.86
1961     24        38155.08
1961     25        38331.99
1961     26        38716.87
1961     27        39648.85
1961     28        41497.79
1961     29        42624.50
1961     30        44619.34
1961     31        45549.89
