Denmark, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 14/03/2023
Year    Age        Total
1916     12-        0.00
1916     13         0.10
1916     14         1.52
1916     15        18.29
1916     16       154.35
1916     17       421.23
1916     18       890.25
1916     19      1685.89
1916     20      2317.22
1916     21      2938.60
1916     22      3330.94
1916     23      3815.90
1916     24      3816.90
1916     25      4186.33
1916     26      4191.31
1916     27      4056.88
1916     28      4161.44
1916     29      3902.53
1916     30      3912.49
1916     31      3366.79
1916     32      3370.77
1916     33      2994.36
1916     34      2832.04
1916     35      2558.21
1916     36      2387.93
1916     37      2127.03
1916     38      1930.85
1916     39      1652.02
1916     40      1338.35
1916     41      1086.41
1916     42       836.47
1916     43       552.67
1916     44       376.41
1916     45       198.16
1916     46        94.60
1916     47        33.86
1916     48        15.93
1916     49         0.00
1916     50         2.00
1916     51         1.00
1916     52         0.00
1916     53         0.00
1916     54         0.99
1916     55+        0.00
1917     12-        0.01
1917     13         0.17
1917     14         2.45
1917     15        22.24
1917     16       112.33
1917     17       426.47
1917     18       909.60
1917     19      1515.01
1917     20      2363.98
1917     21      2998.21
1917     22      3373.00
1917     23      3785.56
1917     24      4027.11
1917     25      4011.20
1917     26      4117.58
1917     27      4094.71
1917     28      3863.09
1917     29      3877.01
1917     30      3633.45
1917     31      3434.62
1917     32      3346.15
1917     33      3032.02
1917     34      2628.41
1917     35      2565.79
1917     36      2296.37
1917     37      2050.84
1917     38      1852.02
1917     39      1545.82
1917     40      1372.86
1917     41      1048.77
1917     42       764.47
1917     43       546.76
1917     44       360.86
1917     45       177.95
1917     46       103.39
1917     47        28.83
1917     48         9.95
1917     49         3.97
1917     50         0.99
1917     51         1.98
1917     52         0.00
1917     53         0.00
1917     54         0.00
1917     55+        0.00
1918     12-        0.00
1918     13         0.13
1918     14         1.76
1918     15        18.02
1918     16       108.46
1918     17       426.89
1918     18       921.45
1918     19      1612.03
1918     20      2299.64
1918     21      2900.67
1918     22      3633.06
1918     23      3854.96
1918     24      4221.16
1918     25      4208.23
1918     26      4137.56
1918     27      4205.24
1918     28      3982.34
1918     29      3798.25
1918     30      3804.22
1918     31      3475.84
1918     32      3312.64
1918     33      3111.63
1918     34      2920.57
1918     35      2576.28
1918     36      2389.21
1918     37      2201.13
1918     38      1953.36
1918     39      1709.56
1918     40      1405.07
1918     41      1116.49
1918     42       875.68
1918     43       634.86
1918     44       337.33
1918     45       204.00
1918     46        91.55
1918     47        40.80
1918     48        10.95
1918     49         1.99
1918     50         0.00
1918     51         0.99
1918     52         0.00
1918     53         0.00
1918     54         0.00
1918     55+        0.99
1919     12-        0.00
1919     13         0.12
1919     14         1.57
1919     15        14.24
1919     16        77.66
1919     17       343.48
1919     18       772.58
1919     19      1545.17
1919     20      2179.36
1919     21      2754.81
1919     22      3388.01
1919     23      3816.12
1919     24      3938.57
1919     25      4210.37
1919     26      4140.68
1919     27      3789.24
1919     28      3779.29
1919     29      3687.69
1919     30      3553.29
1919     31      3198.85
1919     32      3090.34
1919     33      2919.08
1919     34      2770.74
1919     35      2517.87
1919     36      2231.13
1919     37      2064.86
1919     38      1878.69
1919     39      1519.28
1919     40      1287.30
1919     41      1080.22
1919     42       867.17
1919     43       597.36
1919     44       320.58
1919     45       226.99
1919     46       105.53
1919     47        34.85
1919     48        13.94
1919     49         3.98
1919     50         0.00
1919     51         0.00
1919     52         0.99
1919     53         0.00
1919     54         0.00
1919     55+        0.00
1920     12-        0.01
1920     13         0.15
1920     14         2.25
1920     15        23.49
1920     16       144.42
1920     17       491.03
1920     18      1181.25
1920     19      1975.06
1920     20      2719.09
1920     21      3340.58
1920     22      4049.74
1920     23      4384.40
1920     24      4628.42
1920     25      4602.53
1920     26      4715.08
1920     27      4426.23
1920     28      4254.93
1920     29      4116.48
1920     30      4055.73
1920     31      3621.47
1920     32      3489.99
1920     33      3141.39
1920     34      3051.75
1920     35      2673.27
1920     36      2492.00
1920     37      2220.09
1920     38      1978.06
1920     39      1716.11
1920     40      1406.36
1920     41      1026.88
1920     42       889.43
1920     43       655.37
1920     44       395.42
1920     45       215.14
1920     46        97.61
1920     47        31.87
1920     48        16.94
1920     49         0.00
1920     50         0.00
1920     51         0.00
1920     52         0.00
1920     53         0.00
1920     54         0.00
1920     55+        0.00
1921     12-        0.00
1921     13         0.11
1921     14         1.68
1921     15        20.77
1921     16       183.53
1921     17       536.24
1921     18      1156.57
1921     19      1976.83
1921     20      2781.71
1921     21      3470.73
1921     22      3879.84
1921     23      4457.10
1921     24      4711.39
1921     25      4867.24
1921     26      4649.87
1921     27      4503.24
1921     28      4483.77
