France, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 17/10/2023
Year   Age    Cohort           Total
1946    12-        .            0.00
1946    13      1933            1.00
1946    13      1932            0.00
1946    14      1932           10.00
1946    14      1931           50.00
1946    15      1931          156.00
1946    15      1930          325.00
1946    16      1930          841.00
1946    16      1929         1294.00
1946    17      1929         2612.00
1946    17      1928         3600.00
1946    18      1928         6234.00
1946    18      1927         7343.00
1946    19      1927        10888.00
1946    19      1926        12303.00
1946    20      1926        16666.00
1946    20      1925        16986.00
1946    21      1925        22043.00
1946    21      1924        20783.00
1946    22      1924        26214.00
1946    22      1923        24114.00
1946    23      1923        29082.00
1946    23      1922        26432.00
1946    24      1922        32106.00
1946    24      1921        30662.00
1946    25      1921        32774.00
1946    25      1920        33893.00
1946    26      1920        33619.00
1946    26      1919        23924.00
1946    27      1919        15945.00
1946    27      1918        17585.00
1946    28      1918        16604.00
1946    28      1917        14861.00
1946    29      1917        13905.00
1946    29      1916        13576.00
1946    30      1916        12567.00
1946    30      1915        13224.00
1946    31      1915        17464.00
1946    31      1914        23101.00
1946    32      1914        21086.00
1946    32      1913        21566.00
1946    33      1913        19757.00
1946    33      1912        19968.00
1946    34      1912        17890.00
1946    34      1911        16457.00
1946    35      1911        15057.00
1946    35      1910        15560.00
1946    36      1910        14310.00
1946    36      1909        13206.00
1946    37      1909        12095.00
1946    37      1908        11218.00
1946    38      1908        10117.00
1946    38      1907         9150.00
1946    39      1907         8215.00
1946    39      1906         7693.00
1946    40      1906         6619.00
1946    40      1905         5811.00
1946    41      1905         4901.00
1946    41      1904         4342.00
1946    42      1904         3413.00
1946    42      1903         2899.00
1946    43      1903         2257.00
1946    43      1902         1912.00
1946    44      1902         1250.00
1946    44      1901         1086.00
1946    45      1901          740.00
1946    45      1900          578.00
1946    46      1900          406.00
1946    46      1899          206.00
1946    47      1899          122.00
1946    47      1898           87.00
1946    48      1898           41.00
1946    48      1897           26.00
1946    49      1897           18.00
1946    49      1896           58.00
1946    50      1896            0.00
1946    50      1895            0.00
1946    51      1895            0.00
1946    51      1894            0.00
1946    52      1894            0.00
1946    52      1893            0.00
1946    53      1893            0.00
1946    53      1892            0.00
1946    54      1892            0.00
1946    54      1891            0.00
1946    55+        .            0.00
1947    12-        .            0.00
1947    13      1934            0.00
1947    13      1933            0.00
1947    14      1933           42.00
1947    14      1932           75.00
1947    15      1932          201.00
1947    15      1931          362.00
1947    16      1931          938.00
1947    16      1930         1477.00
1947    17      1930         2848.00
1947    17      1929         4044.00
1947    18      1929         6478.00
1947    18      1928         8620.00
1947    19      1928        12673.00
1947    19      1927        14733.00
1947    20      1927        18664.00
1947    20      1926        21411.00
1947    21      1926        24444.00
1947    21      1925        26524.00
1947    22      1925        29533.00
1947    22      1924        29853.00
1947    23      1924        30796.00
1947    23      1923        31722.00
1947    24      1923        32414.00
1947    24      1922        32763.00
1947    25      1922        33084.00
1947    25      1921        33599.00
1947    26      1921        32618.00
1947    26      1920        33296.00
1947    27      1920        32030.00
1947    27      1919        21515.00
1947    28      1919        15023.00
1947    28      1918        15746.00
1947    29      1918        14576.00
1947    29      1917        13245.00
1947    30      1917        12158.00
1947    30      1916        11610.00
1947    31      1916        10745.00
1947    31      1915        11103.00
1947    32      1915        14666.00
1947    32      1914        18954.00
1947    33      1914        17677.00
1947    33      1913        17609.00
1947    34      1913        16158.00
1947    34      1912        16092.00
1947    35      1912        14857.00
1947    35      1911        13787.00
1947    36      1911        12192.00
1947    36      1910        12552.00
1947    37      1910        11615.00
1947    37      1909        11184.00
1947    38      1909         9848.00
1947    38      1908         9285.00
1947    39      1908         7971.00
1947    39      1907         7464.00
1947    40      1907         6320.00
1947    40      1906         5750.00
1947    41      1906         5076.00
1947    41      1905         4451.00
1947    42      1905         3485.00
1947    42      1904         3135.00
1947    43      1904         2235.00
1947    43      1903         1969.00
1947    44      1903         1457.00
1947    44      1902         1228.00
1947    45      1902          757.00
1947    45      1901          638.00
1947    46      1901          385.00
1947    46      1900          278.00
1947    47      1900          188.00
1947    47      1899           94.00
1947    48      1899           44.00
1947    48      1898           40.00
1947    49      1898           19.00
1947    49      1897           15.00
1947    50      1897           34.00
1947    50      1896            0.00
1947    51      1896            0.00
1947    51      1895            0.00
1947    52      1895            0.00
1947    52      1894            0.00
1947    53      1894            0.00
1947    53      1893            0.00
1947    54      1893            0.00
1947    54      1892            0.00
1947    55+        .            0.00
1948    12-        .            0.00
1948    13      1935            2.00
1948    13      1934            0.00
1948    14      1934           31.00
1948    14      1933           62.00
1948    15      1933          199.00
1948    15      1932          409.00
1948    16      1932          963.00
1948    16      1931         1330.00
1948    17      1931         2895.00
1948    17      1930         4277.00
1948    18      1930         6736.00
1948    18      1929         8613.00
1948    19      1929        12292.00
1948    19      1928        14995.00
1948    20      1928        19595.00
1948    20      1927        21320.00
1948    21      1927        23994.00
1948    21      1926        26818.00
1948    22      1926        29275.00
1948    22      1925        30337.00
1948    23      1925        31359.00
1948    23      1924        31067.00
1948    24      1924        31992.00
1948    24      1923        32345.00
1948    25      1923        31890.00
1948    25      1922        30947.00
1948    26      1922        31554.00
1948    26      1921        31668.00
1948    27      1921        30831.00
1948    27      1920        31063.00
1948    28      1920        30135.00
1948    28      1919        19911.00
1948    29      1919        14054.00
1948    29      1918        14695.00
1948    30      1918        13550.00
1948    30      1917        12144.00
1948    31      1917        11361.00
1948    31      1916        10526.00
1948    32      1916         9667.00
1948    32      1915         9874.00
1948    33      1915        13302.00
1948    33      1914        16648.00
1948    34      1914        15791.00
1948    34      1913        15418.00
1948    35      1913        14681.00
1948    35      1912        13957.00
1948    36      1912        12767.00
1948    36      1911        11710.00
1948    37      1911        10329.00
1948    37      1910        10663.00
1948    38      1910         9621.00
1948    38      1909         8918.00
1948    39      1909         7962.00
1948    39      1908         7298.00
1948    40      1908         6342.00
1948    40      1907         5656.00
1948    41      1907         4835.00
1948    41      1906         4285.00
1948    42      1906         3489.00
1948    42      1905         3093.00
1948    43      1905         2292.00
1948    43      1904         2037.00
1948    44      1904         1376.00
1948    44      1903         1111.00
1948    45      1903          725.00
1948    45      1902          614.00
1948    46      1902          365.00
1948    46      1901          287.00
1948    47      1901          185.00
1948    47      1900          142.00
1948    48      1900           77.00
1948    48      1899           36.00
1948    49      1899           19.00
1948    49      1898            9.00
1948    50      1898           20.00
1948    50      1897            0.00
1948    51      1897            0.00
1948    51      1896            0.00
1948    52      1896            0.00
1948    52      1895            0.00
1948    53      1895            0.00
1948    53      1894            0.00
1948    54      1894            0.00
1948    54      1893            0.00
1948    55+        .            0.00
1949    12-        .            0.00
1949    13      1936            1.00
1949    13      1935            0.00
1949    14      1935           23.00
1949    14      1934           73.00
