Ireland, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 09/06/2023
Year   Age    Cohort           Total
1955    12-        .            0.00
1955    13      1942            0.00
1955    13      1941            0.00
1955    14      1941            0.97
1955    14      1940            6.23
1955    15      1940           11.03
1955    15      1939           13.64
1955    16      1939           22.14
1955    16      1938           29.26
1955    17      1938           54.88
1955    17      1937           78.76
1955    18      1937          145.28
1955    18      1936          202.17
1955    19      1936          271.74
1955    19      1935          324.47
1955    20      1935          401.02
1955    20      1934          457.32
1955    21      1934          537.15
1955    21      1933          616.22
1955    22      1933          798.13
1955    22      1932          908.28
1955    23      1932          979.43
1955    23      1931         1013.78
1955    24      1931         1123.40
1955    24      1930         1233.71
1955    25      1930         1322.69
1955    25      1929         1382.89
1955    26      1929         1468.38
1955    26      1928         1532.23
1955    27      1928         1574.68
1955    27      1927         1644.89
1955    28      1927         1641.28
1955    28      1926         1729.40
1955    29      1926         1751.86
1955    29      1925         1833.66
1955    30      1925         1871.20
1955    30      1924         1928.13
1955    31      1924         1794.78
1955    31      1923         1804.10
1955    32      1923         1831.98
1955    32      1922         1898.48
1955    33      1922         1790.72
1955    33      1921         1777.33
1955    34      1921         1711.66
1955    34      1920         1719.66
1955    35      1920         1687.29
1955    35      1919         1614.51
1955    36      1919         1465.33
1955    36      1918         1356.41
1955    37      1918         1233.61
1955    37      1917         1170.79
1955    38      1917         1147.00
1955    38      1916         1221.42
1955    39      1916         1065.90
1955    39      1915         1002.35
1955    40      1915          881.38
1955    40      1914          862.04
1955    41      1914          690.60
1955    41      1913          606.69
1955    42      1913          506.23
1955    42      1912          479.58
1955    43      1912          359.84
1955    43      1911          305.25
1955    44      1911          219.06
1955    44      1910          175.68
1955    45      1910          108.44
1955    45      1909           77.62
1955    46      1909           44.00
1955    46      1908           35.15
1955    47      1908           24.77
1955    47      1907           18.41
1955    48      1907            8.99
1955    48      1906            7.45
1955    49      1906            5.34
1955    49      1905            1.85
1955    50      1905            0.00
1955    50      1904            0.00
1955    51      1904            0.00
1955    51      1903            0.00
1955    52      1903            0.00
1955    52      1902            0.00
1955    53      1902            0.00
1955    53      1901            0.00
1955    54      1901            0.00
1955    54      1900            0.00
1955    55+        .            0.00
1956    12-        .            0.00
1956    13      1943            0.00
1956    13      1942            0.00
1956    14      1942            0.00
1956    14      1941            0.00
1956    15      1941            2.46
1956    15      1940           16.66
1956    16      1940           30.11
1956    16      1939           37.34
1956    17      1939           63.53
1956    17      1938           81.43
1956    18      1938          121.70
1956    18      1937          158.16
1956    19      1937          241.88
1956    19      1936          315.82
1956    20      1936          409.88
1956    20      1935          480.03
1956    21      1935          552.41
1956    21      1934          620.37
1956    22      1934          718.46
1956    22      1933          816.73
1956    23      1933          990.50
1956    23      1932         1115.47
1956    24      1932         1186.18
1956    24      1931         1219.78
1956    25      1931         1300.63
1956    25      1930         1416.40
1956    26      1930         1496.94
1956    26      1929         1549.27
1956    27      1929         1566.71
1956    27      1928         1612.39
1956    28      1928         1613.99
1956    28      1927         1687.91
1956    29      1927         1733.92
1956    29      1926         1827.71
1956    30      1926         1801.09
1956    30      1925         1837.05
1956    31      1925         1712.98
1956    31      1924         1760.07
1956    32      1924         1761.79
1956    32      1923         1780.72
1956    33      1923         1733.03
1956    33      1922         1783.30
1956    34      1922         1681.04
1956    34      1921         1667.17
1956    35      1921         1610.54
1956    35      1920         1602.78
1956    36      1920         1488.45
1956    36      1919         1413.80
1956    37      1919         1302.57
1956    37      1918         1219.16
1956    38      1918         1148.21
1956    38      1917         1089.64
1956    39      1917         1037.76
1956    39      1916         1083.31
1956    40      1916          895.18
1956    40      1915          813.15
1956    41      1915          656.88
1956    41      1914          633.68
1956    42      1914          528.07
