Netherlands, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 25/05/2021
Year   Age    Cohort           Total
1950    12-        .            0.03
1950    13      1937            0.16
1950    13      1936            0.39
1950    14      1936            2.21
1950    14      1935            4.22
1950    15      1935           14.00
1950    15      1934           21.00
1950    16      1934           62.00
1950    16      1933          112.00
1950    17      1933          259.00
1950    17      1932          376.00
1950    18      1932          655.00
1950    18      1931          803.00
1950    19      1931         1253.00
1950    19      1930         1407.00
1950    20      1930         1827.00
1950    20      1929         2009.00
1950    21      1929         2652.00
1950    21      1928         2889.00
1950    22      1928         3541.00
1950    22      1927         3804.00
1950    23      1927         4387.00
1950    23      1926         4759.00
1950    24      1926         5472.00
1950    24      1925         5836.00
1950    25      1925         6187.00
1950    25      1924         6584.00
1950    26      1924         7087.00
1950    26      1923         7377.00
1950    27      1923         7600.00
1950    27      1922         7597.00
1950    28      1922         7658.00
1950    28      1921         7663.00
1950    29      1921         7587.00
1950    29      1920         7529.00
1950    30      1920         7576.00
1950    30      1919         6551.00
1950    31      1919         6034.00
1950    31      1918         5671.00
1950    32      1918         5676.00
1950    32      1917         5518.00
1950    33      1917         5586.00
1950    33      1916         5416.00
1950    34      1916         5125.00
1950    34      1915         4924.00
1950    35      1915         5068.00
1950    35      1914         4792.00
1950    36      1914         4609.00
1950    36      1913         4485.00
1950    37      1913         4269.00
1950    37      1912         3917.00
1950    38      1912         3655.00
1950    38      1911         3243.00
1950    39      1911         3062.00
1950    39      1910         2828.00
1950    40      1910         2600.00
1950    40      1909         2423.00
1950    41      1909         2147.00
1950    41      1908         1884.00
1950    42      1908         1614.00
1950    42      1907         1409.00
1950    43      1907         1109.00
1950    43      1906          961.00
1950    44      1906          740.00
1950    44      1905          575.00
1950    45      1905          409.00
1950    45      1904          304.00
1950    46      1904          202.00
1950    46      1903          131.00
1950    47      1903           76.00
1950    47      1902           52.00
1950    48      1902           28.00
1950    48      1901           16.00
1950    49      1901           10.00
1950    49      1900            3.00
1950    50      1900            1.88
1950    50      1899            1.32
1950    51      1899            0.88
1950    51      1898            0.68
1950    52      1898            0.44
1950    52      1897            0.34
1950    53      1897            0.21
1950    53      1896            0.15
1950    54      1896            0.08
1950    54      1895            0.03
1950    55+        .            0.00
1951    12-        .            0.03
1951    13      1938            0.21
1951    13      1937            0.49
1951    14      1937            2.80
1951    14      1936            5.48
1951    15      1936           16.00
1951    15      1935           27.00
1951    16      1935           60.00
1951    16      1934          103.00
1951    17      1934          255.00
1951    17      1933          381.00
1951    18      1933          709.00
1951    18      1932          888.00
1951    19      1932         1342.00
1951    19      1931         1470.00
1951    20      1931         2054.00
1951    20      1930         2252.00
1951    21      1930         2766.00
1951    21      1929         2936.00
1951    22      1929         3679.00
1951    22      1928         3995.00
1951    23      1928         4685.00
1951    23      1927         4944.00
1951    24      1927         5440.00
1951    24      1926         5745.00
1951    25      1926         6189.00
1951    25      1925         6548.00
1951    26      1925         6917.00
1951    26      1924         7193.00
1951    27      1924         7489.00
1951    27      1923         7563.00
1951    28      1923         7577.00
1951    28      1922         7520.00
1951    29      1922         7437.00
1951    29      1921         7412.00
1951    30      1921         7266.00
1951    30      1920         7090.00
1951    31      1920         7224.00
1951    31      1919         6211.00
1951    32      1919         5465.00
1951    32      1918         5078.00
1951    33      1918         5191.00
1951    33      1917         5061.00
1951    34      1917         4934.00
1951    34      1916         4761.00
1951    35      1916         4706.00
1951    35      1915         4417.00
1951    36      1915         4383.00
1951    36      1914         4327.00
1951    37      1914         4079.00
1951    37      1913         3772.00
1951    38      1913         3682.00
1951    38      1912         3351.00
1951    39      1912         3081.00
1951    39      1911         2749.00
1951    40      1911         2491.00
1951    40      1910         2302.00
1951    41      1910         2017.00
1951    41      1909         1791.00
1951    42      1909         1524.00
1951    42      1908         1343.00
1951    43      1908         1088.00
1951    43      1907          952.00
1951    44      1907          697.00
1951    44      1906          541.00
1951    45      1906          385.00
1951    45      1905          283.00
1951    46      1905          201.00
1951    46      1904          135.00
1951    47      1904           80.00
1951    47      1903           57.00
1951    48      1903           35.00
1951    48      1902           26.00
1951    49      1902           13.00
1951    49      1901            5.00
1951    50      1901            3.87
1951    50      1900            2.75
1951    51      1900            1.82
1951    51      1899            1.37
1951    52      1899            0.82
1951    52      1898            0.61
1951    53      1898            0.36
1951    53      1897            0.24
1951    54      1897            0.13
1951    54      1896            0.04
1951    55+        .            0.00
1952    12-        .            0.04
1952    13      1939            0.26
1952    13      1938            0.60
1952    14      1938            3.03
1952    14      1937            5.07
1952    15      1937           10.00
1952    15      1936           17.00
1952    16      1936           64.00
1952    16      1935          116.00
1952    17      1935          257.00
1952    17      1934          383.00
1952    18      1934          726.00
1952    18      1933          918.00
1952    19      1933         1389.00
1952    19      1932         1580.00
1952    20      1932         2105.00
1952    20      1931         2282.00
1952    21      1931         2907.00
1952    21      1930         3137.00
1952    22      1930         3784.00
1952    22      1929         4046.00
1952    23      1929         4667.00
1952    23      1928         5036.00
1952    24      1928         5742.00
1952    24      1927         6016.00
1952    25      1927         6383.00
1952    25      1926         6698.00
1952    26      1926         6994.00
1952    26      1925         7257.00
1952    27      1925         7601.00
1952    27      1924         7690.00
1952    28      1924         7669.00
1952    28      1923         7655.00
1952    29      1923         7525.00
1952    29      1922         7451.00
1952    30      1922         7364.00
1952    30      1921         7194.00
1952    31      1921         6988.00
1952    31      1920         6713.00
1952    32      1920         6737.00
1952    32      1919         5792.00
1952    33      1919         5103.00
1952    33      1918         4769.00
1952    34      1918         4786.00
1952    34      1917         4637.00
1952    35      1917         4608.00
1952    35      1916         4329.00
1952    36      1916         4181.00
1952    36      1915         4094.00
1952    37      1915         3970.00
1952    37      1914         3725.00
1952    38      1914         3609.00
1952    38      1913         3303.00
1952    39      1913         3094.00
1952    39      1912         2830.00
1952    40      1912         2539.00
1952    40      1911         2286.00
1952    41      1911         2022.00
1952    41      1910         1785.00
1952    42      1910         1493.00
1952    42      1909         1326.00
1952    43      1909         1052.00
1952    43      1908          927.00
1952    44      1908          701.00
1952    44      1907          547.00
1952    45      1907          412.00
1952    45      1906          310.00
1952    46      1906          203.00
1952    46      1905          137.00
1952    47      1905           83.00
1952    47      1904           58.00
1952    48      1904           30.00
1952    48      1903           17.00
1952    49      1903            9.00
1952    49      1902            4.00
1952    50      1902            2.20
1952    50      1901            1.56
1952    51      1901            1.05
1952    51      1900            0.78
1952    52      1900            0.50
1952    52      1899            0.39
1952    53      1899            0.24
1952    53      1898            0.16
1952    54      1898            0.09
1952    54      1897            0.03
1952    55+        .            0.00
1953    12-        .            0.04
1953    13      1940            0.34
1953    13      1939            0.82
1953    14      1939            4.01
1953    14      1938            6.79
1953    15      1938           12.00
1953    15      1937           21.00
1953    16      1937           68.00
1953    16      1936          116.00
1953    17      1936          261.00
1953    17      1935          383.00
1953    18      1935          711.00
1953    18      1934          887.00
1953    19      1934         1309.00
1953    19      1933         1454.00
1953    20      1933         1965.00
1953    20      1932         2184.00
1953    21      1932         2818.00
1953    21      1931         3034.00
1953    22      1931         3784.00
1953    22      1930         4095.00
1953    23      1930         4660.00
1953    23      1929         4970.00
1953    24      1929         5604.00
1953    24      1928         5967.00
1953    25      1928         6457.00
1953    25      1927         6726.00
1953    26      1927         6979.00
1953    26      1926         7163.00
