Portugal, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/09/2022
Year    Age        Total
1940     12-        0.04
1940     13         1.91
1940     14        24.71
1940     15       119.92
1940     16       432.07
1940     17      1185.30
1940     18      2387.21
1940     19      3934.02
1940     20      5363.32
1940     21      6167.62
1940     22      8626.45
1940     23      9870.18
1940     24     11117.18
1940     25     11472.88
1940     26     10772.79
1940     27     10675.60
1940     28      9824.07
1940     29     10644.64
1940     30      9865.23
1940     31      8099.65
1940     32      8356.68
1940     33      7669.95
1940     34      7755.62
1940     35      7384.57
1940     36      6214.50
1940     37      5723.40
1940     38      5046.92
1940     39      5092.04
1940     40      4148.82
1940     41      2958.71
1940     42      2443.56
1940     43      1633.91
1940     44      1144.24
1940     45       744.22
1940     46       425.81
1940     47       268.88
1940     48       145.22
1940     49        84.34
1940     50        43.18
1940     51        15.79
1940     52         5.22
1940     53         1.32
1940     54         0.29
1940     55+        0.00
1941     12-        0.04
1941     13         1.89
1941     14        24.02
1941     15       113.14
1941     16       413.88
1941     17      1115.98
1941     18      2373.87
1941     19      3827.68
1941     20      5435.12
1941     21      7068.12
1941     22      7363.96
1941     23      9587.51
1941     24     10475.67
1941     25     10984.28
1941     26     10677.24
1941     27     10055.13
1941     28     10212.09
1941     29      9782.62
1941     30     10171.43
1941     31      8832.79
1941     32      7472.80
1941     33      7956.84
1941     34      7460.88
1941     35      7234.03
1941     36      6623.71
1941     37      5682.74
1941     38      5220.38
1941     39      4464.35
1941     40      4163.53
1941     41      3108.90
1941     42      2046.64
1941     43      1604.48
1941     44      1046.66
1941     45       757.51
1941     46       472.37
1941     47       245.31
1941     48       136.76
1941     49        64.97
1941     50        36.47
1941     51        14.88
1941     52         3.90
1941     53         1.18
1941     54         0.24
1941     55+        0.00
1942     12-        0.04
1942     13         1.83
1942     14        23.81
1942     15       109.79
1942     16       395.39
1942     17      1082.62
1942     18      2267.68
1942     19      3906.70
1942     20      5615.64
1942     21      7486.46
1942     22      8885.02
1942     23      8585.16
1942     24     10603.75
1942     25     10585.33
1942     26     10524.72
1942     27     10218.98
1942     28      9879.38
1942     29     10457.72
1942     30      9617.92
1942     31      9428.43
1942     32      8382.50
1942     33      7334.48
1942     34      7981.40
1942     35      7152.72
1942     36      6647.84
1942     37      6134.08
1942     38      5273.62
1942     39      4784.41
1942     40      3888.83
1942     41      3519.62
1942     42      2439.04
1942     43      1491.21
1942     44      1086.48
1942     45       694.78
1942     46       464.73
1942     47       270.16
1942     48       136.99
1942     49        75.92
1942     50        40.81
1942     51        19.81
1942     52         5.63
1942     53         1.26
1942     54         0.29
1942     55+        0.00
1943     12-        0.04
1943     13         2.01
1943     14        26.48
1943     15       124.77
1943     16       442.73
1943     17      1201.47
1943     18      2555.27
1943     19      4297.18
1943     20      6481.69
1943     21      8290.10
1943     22      9911.92
1943     23     10725.53
1943     24      9693.91
1943     25     10904.57
1943     26     10448.34
1943     27     10357.18
1943     28     10346.29
1943     29     10465.48
1943     30     10549.98
1943     31      9182.46
1943     32      9237.60
1943     33      8430.62
1943     34      7584.12
1943     35      7867.97
1943     36      6755.30
1943     37      6345.52
1943     38      5825.76
1943     39      4948.24
1943     40      4318.07
1943     41      3400.60
1943     42      2825.38
1943     43      1808.32
1943     44      1029.25
1943     45       723.02
1943     46       431.82
1943     47       268.59
1943     48       148.70
1943     49        72.86
1943     50        44.60
1943     51        18.95
1943     52         6.40
1943     53         1.60
1943     54         0.28
1943     55+        0.00
1944     12-        0.04
1944     13         2.07
1944     14        26.10
1944     15       120.83
1944     16       441.33
1944     17      1181.21
1944     18      2496.86
1944     19      4285.30
1944     20      6339.55
1944     21      8591.28
1944     22      9942.00
1944     23     11053.78
1944     24     11373.87
1944     25      9564.54
1944     26     10531.07
1944     27     10142.72
1944     28     10299.77
1944     29     10670.03
1944     30     10154.97
1944     31      9529.02
1944     32      8566.26
1944     33      8945.02
1944     34      8467.51
1944     35      7499.13
1944     36      7568.43
1944     37      6566.48
1944     38      6061.76
1944     39      5328.54
1944     40      4260.27
1944     41      3519.91
1944     42      2601.18
1944     43      2086.90
1944     44      1317.26
1944     45       781.05
1944     46       524.96
1944     47       272.07
1944     48       141.08
1944     49        65.24
1944     50        32.34
1944     51        14.84
1944     52         4.63
1944     53         1.50
1944     54         0.31
1944     55+        0.00
1945     12-        0.05
1945     13         2.10
1945     14        26.98
1945     15       120.81
1945     16       444.42
1945     17      1230.76
1945     18      2581.62
1945     19      4422.68
1945     20      6675.42
1945     21      8942.69
1945     22     10966.36
1945     23     11762.07
1945     24     12521.62
1945     25     12042.72
1945     26      9735.31
1945     27     10701.09
1945     28     10416.82
1945     29     10747.34
1945     30     10347.24
1945     31      9152.03
1945     32      8855.05
1945     33      8361.57
1945     34      9095.05
1945     35      8377.38
1945     36      7134.57
1945     37      7121.27
1945     38      6024.62
1945     39      5345.53
1945     40      4430.34
1945     41      3398.61
1945     42      2708.63
1945     43      1937.46
1945     44      1503.53
1945     45       928.32
1945     46       506.49
1945     47       297.02
1945     48       139.93
1945     49        67.88
1945     50        36.28
1945     51        14.69
1945     52         4.92
1945     53         1.36
1945     54         0.33
1945     55+        0.00
1946     12-        0.05
1946     13         2.12
1946     14        26.89
1946     15       123.07
1946     16       436.07
1946     17      1209.07
1946     18      2607.70
1946     19      4405.56
1946     20      6567.59
1946     21      8932.16
1946     22     10797.56
1946     23     12221.76
1946     24     12451.74
1946     25     12408.90
1946     26     11365.25
1946     27      9058.74
1946     28     10068.14
1946     29     10030.79
1946     30      9775.88
1946     31      8936.11
1946     32      8311.49
1946     33      8455.19
1946     34      8330.61
1946     35      8625.89
1946     36      7426.01
1946     37      6241.16
1946     38      6117.25
1946     39      5087.86
1946     40      4373.69
1946     41      3520.78
1946     42      2618.67
1946     43      1994.20
1946     44      1343.11
1946     45       953.21
1946     46       539.22
1946     47       243.28
1946     48       121.75
1946     49        51.05
1946     50        27.94
1946     51        12.22
1946     52         3.83
1946     53         1.20
1946     54         0.26
1946     55+        0.00
1947     12-        0.04
1947     13         1.99
1947     14        26.62
1947     15       124.08
1947     16       442.52
1947     17      1176.02
1947     18      2528.43
1947     19      4389.74
1947     20      6426.84
1947     21      8695.74
1947     22     10694.33
1947     23     11973.78
1947     24     12889.46
1947     25     12280.76
1947     26     11704.44
1947     27     10566.66
1947     28      8450.97
1947     29      9591.06
1947     30      9003.48
1947     31      8238.74
1947     32      7905.92
1947     33      7766.92
1947     34      8237.93
1947     35      7816.34
1947     36      7666.47
1947     37      6490.89
1947     38      5369.11
1947     39      5107.59
1947     40      4131.16
1947     41      3434.30
1947     42      2577.66
1947     43      1767.58
1947     44      1233.98
1947     45       751.63
1947     46       511.82
1947     47       266.18
1947     48       121.97
1947     49        65.29
1947     50        36.16
1947     51        16.51
1947     52         5.21
1947     53         1.36
1947     54         0.30
1947     55+        0.00
1948     12-        0.05
1948     13         2.17
1948     14        28.42
1948     15       138.88
1948     16       488.77
1948     17      1297.41
1948     18      2673.02
1948     19      4658.78
1948     20      6977.81
1948     21      9445.70
1948     22     11667.51
1948     23     13354.28
1948     24     14225.10
1948     25     14259.74
1948     26     12888.90
1948     27     12170.53
1948     28     11058.10
1948     29      9029.97
1948     30      9757.90
1948     31      8658.01
1948     32      8327.94
1948     33      8453.66
1948     34      8662.84
1948     35      8745.76
1948     36      7900.50
1948     37      7647.58
1948     38      6345.38
1948     39      5159.01
1948     40      4817.32
1948     41      3756.01
1948     42      2910.19
1948     43      2028.44
1948     44      1312.04
1948     45       861.20
1948     46       529.46
1948     47       356.16
1948     48       193.08
1948     49        94.33
1948     50        62.75
1948     51        26.20
1948     52         7.79
1948     53         1.97
1948     54         0.37
1948     55+        0.00
1949     12-        0.05
1949     13         2.18
1949     14        28.24
1949     15       135.10
1949     16       500.92
1949     17      1324.31
1949     18      2719.97
1949     19      4524.58
1949     20      6704.57
1949     21      9272.57
1949     22     11299.54
1949     23     12820.74
1949     24     13808.02
1949     25     13665.32
1949     26     12935.55
1949     27     11510.17
1949     28     11050.76
1949     29     10365.09
1949     30      8145.16
