Year	Age	ASFR
1969	15	0.00000
1969	16	0.00000
1969	17	0.01903
1969	18	0.03963
1969	19	0.07278
1969	20	0.10003
1969	21	0.12435
1969	22	0.15825
1969	23	0.16726
1969	24	0.17744
1969	25	0.18269
1969	26	0.18756
1969	27	0.17211
1969	28	0.16577
1969	29	0.15478
1969	30	0.13502
1969	31	0.12355
1969	32	0.10987
1969	33	0.09647
1969	34	0.08672
1969	35	0.07572
1969	36	0.06466
1969	37	0.05640
1969	38	0.05117
1969	39	0.04379
1969	40	0.03661
1969	41	0.02834
1969	42	0.02617
1969	43	0.02035
1969	44	0.01611
1969	45	0.01361
1969	46	0.01043
1969	47	0.00904
1969	48	0.00772
1969	49	0.00610
1969	50	0.00468
1969	51	0.00357
1969	52	0.00341
1969	53	0.00263
1969	54	0.00212
1969	55	0.00160
1969	56	0.00149
1969	57	0.00117
1969	58	0.00124
1969	59	0.00570
1970	15	0.00000
1970	16	0.00000
1970	17	0.02157
1970	18	0.04263
1970	19	0.07553
1970	20	0.09967
1970	21	0.12624
1970	22	0.14637
1970	23	0.18141
1970	24	0.16752
1970	25	0.18139
1970	26	0.17903
1970	27	0.18046
1970	28	0.16590
1970	29	0.15391
1970	30	0.13723
1970	31	0.12308
1970	32	0.11141
1970	33	0.09608
1970	34	0.08281
1970	35	0.07807
1970	36	0.06354
1970	37	0.05543
1970	38	0.04953
1970	39	0.04236
1970	40	0.03643
1970	41	0.02732
1970	42	0.02604
1970	43	0.01974
1970	44	0.01526
1970	45	0.01367
1970	46	0.01025
1970	47	0.00871
1970	48	0.00711
1970	49	0.00554
1970	50	0.00477
1970	51	0.00317
1970	52	0.00304
1970	53	0.00236
1970	54	0.00199
1970	55	0.00152
1970	56	0.00134
1970	57	0.00125
1970	58	0.00112
1970	59	0.00621
1971	15	0.00093
1971	16	0.00396
1971	17	0.01574
1971	18	0.04051
1971	19	0.06827
1971	20	0.09123
1971	21	0.11411
1971	22	0.13257
1971	23	0.15429
1971	24	0.16696
1971	25	0.15839
1971	26	0.16587
1971	27	0.15925
1971	28	0.15972
1971	29	0.14083
1971	30	0.12568
1971	31	0.11606
1971	32	0.10243
1971	33	0.09022
1971	34	0.07653
1971	35	0.06965
1971	36	0.06116
1971	37	0.05089
1971	38	0.04497
1971	39	0.03770
1971	40	0.03269
1971	41	0.02563
1971	42	0.02289
1971	43	0.01854
1971	44	0.01366
1971	45	0.01207
1971	46	0.00931
1971	47	0.00778
1971	48	0.00648
1971	49	0.00491
1971	50	0.00426
1971	51	0.00326
1971	52	0.00260
1971	53	0.00215
1971	54	0.00165
1971	55	0.00141
1971	56	0.00130
1971	57	0.00100
1971	58	0.00095
1971	59	0.00453
1972	15	0.00106
1972	16	0.00444
1972	17	0.01651
1972	18	0.04037
1972	19	0.06384
1972	20	0.08200
1972	21	0.10128
1972	22	0.11567
