Source: https://people.math.sc.edu/Burkardt/datasets/presidents/president_timelines.csv
Downloaded 27 June 2022
Note: manually corrected Washingtons term end to 1*7*97; manually added Joseph Biden to last line
      manually added LastName column
"Index", "Name", "LastName", "Birth", "Death", "TermBegin", "TermEnd"
"1", "George Washington", "Washington" ,        "22 February 1732", "14 December 1799",   "30 April 1789",     "4 March 1797"
"2", "John Adams", "Adams",                "30 October 1735",   "4 July 1826",       "4 March 1797",      "4 March 1801"
"3", "Thomas Jefferson", "Jefferson",          "13 April 1743",     "4 July 1826",       "4 March 1801",      "4 March 1809"
"4", "James Madison", "Madison",             "16 March 1751",     "28 June 1836",      "4 March 1809",      "4 March 1817"
"5", "James Monroe",  "Monroe",             "28 April 1758",     "4 July 1831",       "4 March 1817",      "4 March 1825"
"6", "John Quincy Adams", "Adams",         "11 July 1767",      "23 February 1848",  "4 March 1825",      "4 March 1829"
"7", "Andrew Jackson", "Jackson",            "15 March 1767",     "8 June 1845",       "4 March 1829",      "4 March 1837"
"8", "Martin Van Buren", "van Buren",          "5 December 1782",   "24 July 1862",      "4 March 1837",      "4 March 1841"
"9", "William Henry Harrison", "Harrison",    "9 February 1773",   "4 April 1841",      "4 March 1841",      "4 April 1841"
"10", "John Tyler",  "Tyler",              "29 March 1790",     "18 January 1862",   "4 April 1841",      "4 March 1845"
"11", "James K Polk", "Polk",             "2 November 1795",   "15 June 1849",      "4 March 1845",      "4 March 1849"
"12", "Zachary Taylor", "Taylor" ,          "24 November 1784",  "9 July 1850",       "4 March 1849",      "9 July 1850"
"13", "Millard Fillmore", "Fillmore",         "7 January 1800",    "8 May 1874",        "9 July 1850",       "4 March 1853"
"14", "Franklin Pierce", "Pierce",          "23 November 1804",  "8 October 1869",    "4 March 1853",      "4 March 1857"
"15", "James Buchanan", "Buchanon",           "23 April 1791",     "1 June 1868",       "4 March 1857",      "4 March 1861"
"16", "Abraham Lincoln", "Lincoln",          "12 February 1809",  "15 April 1865",     "4 March 1861",      "15 April 1865"
"17", "Andrew Johnson", "Johnson",           "29 December 1808",  "31 July 1875",      "15 April 1865",     "4 March 1869"
"18", "Ulysses S. Grant", "Grant",         "27 April 1822",     "23 July 1885",      "4 March 1869",      "4 March 1877"
"19", "Rutherford B. Hayes", "Hayes",      "4 October 1822",    "17 January 1893",   "4 March 1877",      "4 March 1881"
"20", "James A. Garfield",  "Garfield",       "19 November 1831",  "19 September 1881", "4 March 1881",      "19 September 1881"
"21", "Chester Alan Arthur", "Arthur",      "5 October 1829",    "18 November 1886",  "19 September 1881", "4 March 1885"
"22", "Grover Cleveland", "Cleveland",         "18 March 1837",     "24 June 1908",      "4 March 1885",      "4 March 1889"
"23", "Benjamin Harrison", "Harrison",        "20 August 1833",    "13 March 1901",     "4 March 1889",      "4 March 1893"
"24", "Grover Cleveland", "Cleveland",         "18 March 1837",     "24 June 1908",      "4 March 1893",      "4 March 1897"
"25", "William McKinley",  "McKinley",        "29 January 1843",   "14 September 1901", "4 March 1897",      "14 September 1901"
"26", "Theodore Roosevelt",  "Roosevelt",      "27 October 1858",   "6 January 1919",    "14 September 1901", "4 March 1909"
"27", "William Howard Taft", "Taft",      "15 September 1857", "8 March 1930",      "4 March 1909",      "4 March 1913"
"28", "Woodrow Wilson",  "Wilson",          "28 December 1858",  "3 February 1924",   "4 March 1913",      "4 March 1921"
"29", "Warren G. Harding", "Harding",        "2 November 1865",   "2 August 1923",     "4 March 1921",      "2 August 1923"
"30", "Calvin Coolidge", "Coolidge",          "4 July 1872",       "5 January 1933",    "2 August 1923",     "4 March 1929"
"31", "Herbert Hoover",  "Hoover",          "10 August 1874",    "20 October 1964",   "4 March 1929",      "4 March 1933"
"32", "Franklin Delano Roosevelt", "Roosevelt", "30 January 1882",   "12 April 1945",     "4 March 1933",      "12 April 1945"
"33", "Harry S. Truman",  "Truman",          "8 May 1884",       "26 December 1972",  "12 April 1945",     "20 January 1953"
"34", "Dwight David Eisenhower", "Eisenhower",   "14 October 1890",  "28 March 1969",     "20 January 1953",   "20 January 1961"
"35", "John Fitzgerald Kennedy", "Kennedy",   "29 May 1917",      "22 November 1963",  "20 January 1961",   "22 November 1963"
"36", "Lyndon Baines Johnson", "Johnson",     "27 August 1908",   "22 January 1973",   "22 November 1963",  "20 January 1969"
"37", "Richard Milhous Nixon", "Nixon",     "9 January 1913",   "22 April 1994",     "20 January 1969",   "9 August 1974"
"38", "Gerald Rudolph Ford", "Ford",       "14 July 1913",     "26 December 2006",  "9 August 1974",     "20 January 1977"
"39", "James Earl Carter",  "Carter",        "1 October 1924",   "unknown",           "20 January 1977",   "20 January 1981"
"40", "Ronald Wilson Reagan", "Reagan",      "6 February 1911",  "5 June 2004",       "20 January 1981",   "20 January 1989"
"41", "George Herbert Walker Bush", "Bush", "12 June 1924",     "unknown",           "20 January 1989",   "20 January 1993"
"42", "William Jefferson Clinton", "Clinton", "19 August 1946",   "unknown",           "20 January 1993",   "20 January 2001"
"43", "George Walker Bush", "Bush",        "6 July 1946",      "unknown",           "20 January 2001",   "20 January 2009"
"44", "Barack Obama",  "Obama",             "4 August 1961",    "unknown",           "20 January 2009",   "20 January 2017"
"45", "Donald Trump",  "Trump",             "14 June 1946",     "unknown",           "20 January 2017",   "20 January 2021"
"46", "Joseph Biden",  "Biden",             "20 November 1942", "unknown",           "20 January 2021",   "27 June 2022"

